2017-04-11 11:38:33,529 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.0.1/eclipse-collections-api-7.0.1.pom
2017-04-11 11:38:33,665 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-parent/7.0.1/eclipse-collections-parent-7.0.1.pom
2017-04-11 11:38:33,777 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-parent/7.0.1/eclipse-collections-parent-7.0.1.pom
2017-04-11 11:38:33,873 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.0.2/eclipse-collections-api-7.0.2.pom
2017-04-11 11:38:34,029 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.0.2/eclipse-collections-api-7.0.2.pom
2017-04-11 11:38:34,121 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-parent/7.0.2/eclipse-collections-parent-7.0.2.pom
2017-04-11 11:38:34,270 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-parent/7.0.2/eclipse-collections-parent-7.0.2.pom
2017-04-11 11:38:34,383 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.1.0/eclipse-collections-api-7.1.0.pom
2017-04-11 11:38:34,440 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.1.0/eclipse-collections-api-7.1.0.pom
2017-04-11 11:38:34,484 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-parent/7.1.0/eclipse-collections-parent-7.1.0.pom
2017-04-11 11:38:34,556 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-parent/7.1.0/eclipse-collections-parent-7.1.0.pom
2017-04-11 11:38:34,601 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/net/jcip/jcip-annotations/1.0/jcip-annotations-1.0.pom
2017-04-11 11:38:34,631 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/jcip/jcip-annotations/1.0/jcip-annotations-1.0.pom
2017-04-11 11:38:34,716 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.1.1/eclipse-collections-api-7.1.1.pom
2017-04-11 11:38:34,758 [Worker-68] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/eclipse/collections/eclipse-collections-api/7.1.1/eclipse-collections-api-7.1.1.pom
